subject,sessionIndex,rep,H.period,DD.period.t,H.t,DD.t.i,H.i,DD.i.e,H.e,DD.e.five,H.five,DD.five.Shift.r,H.Shift.r,DD.Shift.r.o,H.o,DD.o.a,H.a,DD.a.n,H.n,DD.n.l,H.l,DD.l.Return,H.Return
1,1,1,149.1,397.9,106.9,167.4,116.9,221.2,141.7,1188.5,114.6,1605.5,106.7,759,101.6,213.6,134.9,148.4,93.2,351.5,133.8,350.9,74.2
1,1,2,111.1,345.1,69.4,128.3,90.8,135.7,82.9,1197,68.9,782.2,157,787.7,106.6,168.4,141.2,255.8,114.6,264.2,83.9,275.6,74.7
1,1,3,132.8,207.2,73.1,129.1,82.1,154.2,80.8,1040.8,89.2,620.3,145.4,719.5,136.5,293.1,162.1,233.2,117.2,270.5,108.5,284.7,94.5
1,1,4,129.1,251.5,105.9,249.5,104,203.8,90,1055.6,91.3,1256.4,145.4,755,95.6,153,145.7,162.9,86.6,234.1,84.5,323.2,81.3
1,1,5,124.9,231.7,89.5,167.6,90.3,158.9,80.5,862.9,74.2,895.5,124.3,763.2,43,197.5,131.2,158.2,88.4,251.7,90.3,251.7,81.8
1,1,6,139.4,234.3,81.3,129.9,74.4,141.2,86.3,937.3,94.2,1089.6,168.1,371.6,115.4,128.7,127.2,153.4,85.8,252.8,79.2,297.1,59.1
1,1,7,106.4,206.9,86.6,136.8,80,140.7,78.9,796.7,85.5,1200.5,94.8,308.3,123.3,140,131.8,120.4,78.2,199.9,87.9,290.7,89
1,1,8,92.9,181,81.8,137.8,74.7,136.7,77.6,644.7,137.3,1187.6,105.9,313.9,90.3,115.2,132.2,104,82.1,212.7,100.6,277.6,67.9
1,1,9,96.6,179.7,77.1,129.6,83.9,142.5,75.5,735.7,80,940.6,102.7,225.7,111.4,126,126.2,140.3,78.7,213.8,88.2,286.8,63.4
1,1,10,109.3,180.7,73.1,145.7,76.6,124.1,81.3,755,82.6,806.5,115.6,311.7,111.9,178.5,146.3,116.2,120.7,228.1,120.4,318.7,86.6
1,1,11,88.7,166,87.6,156,83.9,138.6,69.2,692.7,82.4,813.5,127.8,315.7,94.8,174.6,168.2,50.2,86.6,406.2,92.7,289.7,79.2
1,1,12,91.1,152.5,82.4,151.6,73.1,139.1,83.2,915.5,71.3,748.5,119.3,442.6,110.3,206.5,146.5,149.2,75.8,220.1,74.2,259.9,77.9
1,1,13,111.4,162,90,154.7,79.7,134.9,70.8,702.8,105.1,1099.5,115.7,347.4,116.4,196.7,140.4,158.1,94.2,310.1,109.3,300.8,48.9
1,1,14,90.3,187.1,80.5,191.9,84.2,160,61.5,916.5,88.7,764,139.9,395.4,96.1,433.7,128.3,188.5,73.4,282.7,118.8,388.9,31.8
1,1,15,116.9,256.2,73.9,154.9,89.2,146.2,96.6,1350.1,82.6,1066.9,129.1,654.6,131.7,211.2,143.4,108.3,86.9,207.2,102.7,1130.7,130.1
